,SITE,REGION,ISLAND,REEF_ZONE,OBS_YEAR,DEPTH_BIN,SITEVISITID,ANALYSIS_SEC,METHOD,REGION_NAME,HABITAT_CODE,DEPTH,HARD_CORAL,MA,CCA,SAND,OTHER_BENTHIC,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,VISIBILITY,nCounts,nReps,PISCIVORE,PLANKTIVORE,PRIMARY,SECONDARY,ID,Acanthuridae,Apogonidae,Aulostomidae,Balistidae,Blenniidae,Bothidae,Caracanthidae,Carangidae,Carcharhinidae,Chaetodontidae,Cheilodactylidae,Cirrhitidae,Congridae,Diodontidae,Fistulariidae,Gobiidae,Holocentridae,Kuhliidae,Kyphosidae,Labridae,Lethrinidae,Lutjanidae,Malacanthidae,Microdesmidae,Monacanthidae,Mullidae,Muraenidae,Ophichthidae,Oplegnathidae,Ostraciidae,Pinguipedidae,Pomacanthidae,Pomacentridae,Priacanthidae,Ptereleotridae,Scaridae,Scorpaenidae,Serranidae,Synodontidae,Tetraodontidae,Zanclidae,UNKNOWN,INSTTotFish,SharkJackRayTunaBarra,INSTTotFishMinusSJRTB,MEAN_Chla_MEAN,MEAN_Chla_SD,MEAN_Chla_CLIM_MAX,MEAN_Chla_ANOM_MAX,MEAN_Chla_ANOM_FREQ,MEAN_Irradiance_MEAN,MEAN_Irradiance_SD,MEAN_Irradiance_CLIM_MAX,MEAN_Irradiance_ANOM_MAX,MEAN_Irradiance_ANOM_FREQ,MEAN_SST_MEAN,MEAN_SST_SD,MEAN_SST_CLIM_MAX,MEAN_SST_ANOM_MAX,MEAN_SST_ANOM_FREQ,MEAN_Waves_MEAN,MEAN_Waves_SD,MEAN_Waves_CLIM_MAX,MEAN_Waves_ANOM_MAX,MEAN_Waves_ANOM_FREQ,DATE_,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,ANALYSIS_STRATA,MPA_Name,MPA_Estab_Yr,Protection,TUT2012,OTHER_AREA_GROUPING,Total.Coral,CORAL_Branching.hard.coral,CORAL_Encrusting.hard.coral,CORAL_Massive.hard.coral,I_Sessile.Invertebrate,MA_Macroalga,SC_Soft.Coral,SED_Sediment,TURF_Turf.Alga,UC_UnIdentified,CCA_Coralline.Alga
1,HAW-00395,MHI,Hawaii,Forereef,2013,Deep,5932,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,24.25,6.5,1,2.5,19,71,0.5025,0.414422373244808,1.95,16,2,1,0,0.0189968309152831,13.6401060565066,3.6659542858517,233,13.63260085,0,0,1.828775479,0.004502922,0,0,0,0,0.140994331,0,0.172252922,0,0,0,0,0,0,0,0.218965481,0,0,0,0,0,1.281752452,0,0,0,0,0,0.007505204,0.03770753,0,0,0,0,0,0,0,0,0,17.32505717,0,17.32505717,0.06503333333,0.01926666667,0.17313333333,0.0321,0.08636666667,43.3116918933,9.12924622433,57.5233666667,3.920550463,0.18055555567,25.51405018,0.87400085033,26.9406666667,0.139888889,0.04433760667,14.7440122733,13.9883736033,22.0404447367,67.3566355167,0.143212951,8/3/13,20.25749448,-155.8038442,0,HAW_HAMAKUA,5799,340003,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.041935484,0.025806452,0,0.016129032,0,0,0,0.038709677,0.909677419,0.006451613,0.003225806
2,HAW-00397,MHI,Hawaii,Forereef,2013,Deep,5929,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,22.35,5,0,3,25,67,0.71,0.511528599046165,1.75,15.5,2,1,5.05762642481009,0.293027606812118,5.13812833377612,14.5876430012313,230,4.631313575,0.032664708,0,4.356654494,0.001349615,0,0,0,0,0.158747361,0,0.068458326,0,0,0,0,0,0,0,4.413838895,0,10.05758444,0.023957275,0,0,1.198066102,0,0,0,0,0,0.013338272,0.101615538,0,0,0,0,0,0,0.018836764,0,0,25.07642537,0,25.07642537,0.06676666667,0.02913333333,0.40573333333,0.06233333333,0.1129,42.4163483133,9.14988316067,57.7582333333,4.68076458333,0.177536232,25.44559498,0.86885664,26.9633333333,0.10452777767,0.03205128233,15.4287389667,14.4790058133,23.5569190767,71.3325722833,0.133250311,8/3/13,20.19749522,-155.7091345,0,HAW_HAMAKUA,12364,340003,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.025,0.015625,0,0.009375,0,0,0,0.096875,0.859375,0.0125,0
3,HAW-00398,MHI,Hawaii,Forereef,2013,Deep,5928,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,PAV,24.05,7.5,22.5,5,2.5,62.5,0.5575,0.435167562195253,1.4,19,2,1,12.872832994691,2.55582311969003,40.0771337391784,28.0417846135026,229,23.30219705,0,0,1.621309442,0,0,0,8.596037655,0,1.274835803,0,0.258049787,0,0,0,0,1.704368898,0,0,6.458613704,16.32134328,1.353451801,0,0,0,0.813481667,0.541445116,0,0,0.147362761,0,1.009846573,0.088598908,0,0,15.04467885,0,3.735350224,0,0.045041911,1.231561039,0,83.54757447,8.596037655,74.95153681,0.06573333333,0.0191,0.156,0.028,0.07913333333,43.7325770433,9.08108018633,57.4277666667,3.31061319433,0.16908212533,25.52050384,0.88089494733,26.9903333333,0.14252777767,0.03739316233,14.63867186,13.7442875833,21.77755541,67.1025996533,0.15026982167,8/3/13,20.27029943,-155.8421885,0,HAW_HAMAKUA,5441,340003,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.012903226,0,0,0.012903226,0,0.019354839,0,0.012903226,0.896774194,0.003225806,0.041935484
4,HAW-00402,MHI,Hawaii,Forereef,2013,Deep,5924,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,28.5,5,15,5,30,45,0.82125,0.653539829196597,2.3,18,2,1,10.3428003250638,17.5962151053491,0.958739707368136,4.12086506954498,225,17.68331763,0.01420223,0,0.766160649,0,0,0,0,0,0.656808102,0,0.147910904,0,0,0,0,0,0,0,2.4472454,0,10.34280033,0,0,0,0.869661831,0,0,0,0,0,0,0.010885563,0,0,0,0,0,0,0.07962757,0,0,33.01862021,0,33.01862021,0.06603333333,0.02143333333,0.22426666667,0.04363333333,0.09963333333,42.7513464333,9.13900304267,57.6281,4.57394537033,0.184782609,25.4543722467,0.86904548367,26.7383333333,0.17094444467,0.05769230767,16.30045823,14.98323755,24.7578926933,72.7912465167,0.132171025,8/3/13,20.24326519,-155.7588726,0,HAW_HAMAKUA,5846,340003,RANDOM,RAMP_BASIC,2013-15,ForereefDeep,NA,NA,NA,NA,,0.022580645,0.022580645,0,0,0,0.003225806,0,0.009677419,0.935483871,0.022580645,0.006451613
5,HAW-00407,MHI,Hawaii,Forereef,2013,Mid,5933,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,14.9,5,5,3,25,62,0.5775,0.41933470873352,1.5,14,2,1,0,0.891320283811667,0.777259456613777,4.59766583908678,234,0.723991398,0,0,0.725379848,0.007263795,0,0,0,0,0.447063356,0,0.601439293,0,0,0,0,0,0,0,2.226581824,0,0,0,0,0,0.586608197,0,0,0,0,0,0,0.93665739,0,0,0,0,0,0,0.011260478,0,0,6.26624558,0,6.26624558,0.06573333333,0.0191,0.156,0.028,0.07913333333,43.7325770433,9.08108018633,57.4277666667,3.31061319433,0.16908212533,25.52050384,0.88089494733,26.9903333333,0.14252777767,0.03739316233,14.3636559933,13.5865981933,21.32029201,67.0464646167,0.151515152,8/3/13,20.26759828,-155.8473238,0,HAW_HAMAKUA,5481,340003,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.016129032,0.003225806,0,0.012903226,0,0.009677419,0,0.190322581,0.764516129,0.006451613,0.006451613
6,HAW-00416,MHI,Hawaii,Forereef,2013,Mid,5923,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,SAG,10.15,10,5,7.5,3,74.5,0.205,0.185056428837648,0.8,15,2,1,2.24116949987099,0.63363190356927,6.61319274035472,5.35444719077514,224,6.577096528,0,0,0.869062384,0,0,0,2.2411695,0,0.164104351,0,0.17482344,0,0,0,0,0,0,0,2.017768065,0,0,0,0,0,2.097199604,0,0,0,0,0,0,0.665121251,0,0,0,0,0,0,0.036096212,0,0,14.84244133,2.2411695,12.60127183,0.0659,0.0215,0.22233333333,0.04466666667,0.10443333333,42.6308785333,9.16178394333,57.6951,4.71686759267,0.18176328533,25.4431699933,0.868971654,26.7643333333,0.15183333333,0.04861111133,15.87952497,14.2988904233,24.0871508667,66.74132262,0.133001245,8/3/13,20.22456148,-155.7370606,0,HAW_HAMAKUA,6044,340003,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.048387097,0.032258065,0,0.016129032,0,0,0,0.006451613,0.906451613,0,0.035483871
7,HAW-00431,MHI,Hawaii,Forereef,2013,Mid,5930,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,11.35,5,13,1.5,32.5,48,0.5075,0.396698733977948,1.3,13,2,1,1.4566228314257,0.0686644897255197,7.98276021546749,7.27681144280337,231,1.09392228,0,0,0.226677383,0,0,0,0,0,0.002235339,0,0,0,0,0,0,0,0,0,1.103235073,0,4.939889883,0,0,0,1.007009104,0,0,0,0,0,0,0.136915351,0,0,6.818351736,0,1.456622831,0,0,0,0,16.78485898,0,16.78485898,0.06676666667,0.02913333333,0.40573333333,0.06233333333,0.1129,42.4163483133,9.14988316067,57.7582333333,4.68076458333,0.177536232,25.44559498,0.86885664,26.9633333333,0.10452777767,0.03205128233,15.4287389667,14.4790058133,23.5569190767,71.3325722833,0.133250311,8/3/13,20.19613224,-155.7117529,0,HAW_HAMAKUA,12725,340003,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.022580645,0,0,0.022580645,0,0.022580645,0,0.335483871,0.587096774,0.012903226,0.009677419
8,HAW-00433,MHI,Hawaii,Forereef,2013,Mid,5927,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,13.6,12.5,17.5,5,12.5,52.5,0.765,0.489901781494888,1.65,20,2,1,0.141445360875306,2.97957490432324,12.6769475384586,13.759782936801,228,11.2495543,0,0,0.776105711,0,0,0,0,0,0.447063356,0,0.260116789,0,0,0,0,1.711922758,0,0,8.349453301,0,3.017689702,0,0.002943306,0,0.840180562,0,0,0,0,0,0,1.548056026,0,0,1.354664933,0,0,0,0,0,0,29.55775074,0,29.55775074,0.0647,0.01873333333,0.1659,0.02656666667,0.07733333333,43.5730956567,9.11274561833,57.4657666667,3.44151851833,0.167874396,25.51405018,0.87400085033,26.9406666667,0.139888889,0.04433760667,14.5064075567,13.6894013233,21.6032527933,66.29518293,0.147779161,8/3/13,20.26168551,-155.8246959,0,HAW_HAMAKUA,5728,340003,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.03125,0.00625,0.009375,0.015625,0,0.00625,0,0.071875,0.871875,0.009375,0.00625
9,HAW-00448,MHI,Hawaii,Forereef,2013,Mid,5931,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,12.9,10,5,3,5,77,1.5375,0.711810969576155,3,25,2,1,8.92180945913751,15.2086590153534,19.9919841206281,5.32791873206108,232,16.66364199,0,0,0.333446158,0,0,0,0,0,1.568172108,0,0.632109405,0,0,0,0,14.83481616,0,3.139154922,2.631776993,0,0,0,0,0,0,0,0,0,0,0,0,0.950805754,0,0,0,0,8.696447841,0,0,0,0,49.45037133,0,49.45037133,0.06503333333,0.01926666667,0.17313333333,0.0321,0.08636666667,43.3116918933,9.12924622433,57.5233666667,3.920550463,0.18055555567,25.4743133633,0.873291213,26.77,0.17397222233,0.05822649567,14.2855105267,13.6036695267,21.36215318,67.56149218,0.142548775,8/3/13,20.25059533,-155.7924614,0,HAW_HAMAKUA,5927,340003,RANDOM,RAMP_BASIC,2013-15,ForereefMid,NA,NA,NA,NA,,0.209090909,0.03030303,0.024242424,0.154545455,0,0.003030303,0,0.015151515,0.712121212,0.009090909,0.03030303
10,HAW-00460,MHI,Hawaii,Forereef,2013,Shallow,5934,HAW_HAMAKUA,nSPC,Main Hawaiian Islands,ROB,5.65,5,0,5,5,85,0.65125,0.486136956444267,2,18.5,2,1,0.111388216382562,1.76724543282401,6.26821103357935,4.77634302814344,235,3.791804296,0,0,2.405046771,0.004502922,0,0,0,0,0.33223248,0,0.217802311,0,0,0,0,0,0,1.554136039,3.176316109,0,0,0,0,0,0.137031281,0.111388216,0,0,0,0,0,1.065956785,0,0,0,0,0,0,0.126970499,0,0,12.92318771,0,12.92318771,0.07036666667,0.02283333333,0.1746,0.0344,0.07246666667,43.8643248367,8.99943319333,57.3153666667,3.15041481467,0.17149758433,25.5847511533,0.894646149,27.3213333333,0.07697222233,0.02297008567,5.49886287233,6.858788821,9.89678300867,39.80521723,0.109422997,8/3/13,20.24361681,-155.8899036,0,HAW_HAMAKUA,5982,340003,RANDOM,RAMP_BASIC,2013-15,ForereefShallow,NA,NA,NA,NA,,0.009090909,0,0,0.009090909,0,0,0,0.036363636,0.918181818,0.033333333,0
