,SITEVISITID,SITE,METHOD,OBS_YEAR,REGION,REGION_NAME,ISLAND,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,SEC_NAME,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,HABITAT_CODE,DEPTH,HARD_CORAL,MA,CCA,SAND,OTHER_BENTHIC,MEAN_SH,SD_SH_DIFF,MAX_HEIGHT,VISIBILITY,nCounts,nReps,PISCIVORE,PLANKTIVORE,PRIMARY,SECONDARY,ID,Acanthuridae,Apogonidae,Aulostomidae,Balistidae,Blenniidae,Bothidae,Caracanthidae,Carangidae,Carcharhinidae,Chaetodontidae,Cheilodactylidae,Cirrhitidae,Congridae,Diodontidae,Fistulariidae,Gobiidae,Holocentridae,Kuhliidae,Kyphosidae,Labridae,Lethrinidae,Lutjanidae,Malacanthidae,Microdesmidae,Monacanthidae,Mullidae,Muraenidae,Ophichthidae,Oplegnathidae,Ostraciidae,Pinguipedidae,Pomacanthidae,Pomacentridae,Priacanthidae,Ptereleotridae,Scaridae,Scorpaenidae,Serranidae,Synodontidae,Tetraodontidae,Zanclidae,UNKNOWN,INSTTotFish,SharkJackRayTunaBarra,INSTTotFishMinusSJRTB,MEAN_Chla_MEAN,MEAN_Chla_SD,MEAN_Chla_CLIM_MAX,MEAN_Chla_ANOM_MAX,MEAN_Chla_ANOM_FREQ,MEAN_Irradiance_MEAN,MEAN_Irradiance_SD,MEAN_Irradiance_CLIM_MAX,MEAN_Irradiance_ANOM_MAX,MEAN_Irradiance_ANOM_FREQ,MEAN_SST_MEAN,MEAN_SST_SD,MEAN_SST_CLIM_MAX,MEAN_SST_ANOM_MAX,MEAN_SST_ANOM_FREQ,MEAN_Waves_MEAN,MEAN_Waves_SD,MEAN_Waves_CLIM_MAX,MEAN_Waves_ANOM_MAX,MEAN_Waves_ANOM_FREQ
1,10000,OAH-02391,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,2016-08-18,Forereef,Mid,21.311209,-158.125831,PAV,7.3,1,2.5,0.5,1.5,94.5,0.10375,0.0299373429638327,0.35,9,2,1,1.28342546109304,0.147719232072342,11.7137024210145,4.74505432384421,1,10.29305401,0.016977903,0,4.399041056,0,0,0,0,0,0.002802395,0,0.40342483,0,0,0,0,0,0,0,1.159340428,0,0,0,0,0,0.081195287,1.283425461,0,0,0,0,0,0.149452029,0,0,0.024146296,0,0,0,0.077041741,0,0,17.88990144,0,17.88990144,0.0837,0.03296666667,0.30923333333,0.07396666667,0.14733333333,41.4326450033,8.274022944,56.8966,5.03975648167,0.18961352667,25.84518843,0.99878799233,27.65,0.11880555567,0.02510683767,5.229327321,5.344543095,12.3479573487,31.12785437,0.06648401833
2,10001,OAH-02460,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefDeep,OAH_SOUTH,2016-08-18,Forereef,Deep,21.341493,-158.139885,APS,22.55,11,0,7,20,62,0.38,0.463890601881267,1.85,25,2,1,3.37310738844584,67.398697720856,5.37533376388007,104.50694547505,2,2.444436242,0,0.776783061,3.283815684,0,0,0,0,0,0.314221508,0,0.221217541,0,0,0,0,62.67156084,0,0,0.810947847,0,95.9857563,0,0,0,4.714144682,0.648498183,0,0,0,0,0.222213053,6.686464772,0,0,0,1.83366167,0,0,0.040362966,0,0,180.6540843,0,180.6540843,0.08883333333,0.0364,0.295,0.0651,0.1069,41.4326450033,8.274022944,56.8966,5.03975648167,0.18961352667,25.8474859233,0.998805995,27.733,0.10191666667,0.01869658133,5.44145928333,6.415444651,14.2924348433,38.1698440633,0.06484018267
3,10002,OAH-02418,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefShallow,OAH_SOUTH,2016-08-18,Forereef,Shallow,21.36039,-158.133699,PAV,3.2,1.5,0.5,0.5,0,97.5,0.1045,0.0345289733412391,0.6,15,2,1,0,0.116284524670586,6.47224161713657,4.2648402086394,3,5.995389936,0.009997883,0,3.015910366,0.003942349,0,0,0,0,0.27717633,0,0.031017635,0,0,0,0,0,0,0,1.090640182,0,0,0,0,0,0,0,0,0,0,0,0,0.33982344,0,0,0.06036574,0,0,0,0.029102489,0,0,10.85336635,0,10.85336635,0.0822,0.0334,0.27096666667,0.04286666667,0.06523333333,40.6190484433,8.19121444733,56.9757,5.60829236133,0.19021739133,25.8474859233,0.998805995,27.733,0.10191666667,0.01869658133,2.667735487,3.48914260233,7.280368257,23.2899265333,0.056164384
4,10003,OAH-02408,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,2016-08-18,Forereef,Mid,21.415681,-158.18632,PPR,8.95,4,0,3,0.5,92.5,0.235,0.310513833541347,1.5,17,2,1,0,1.96056050262264,25.1818247204109,7.34647292942525,4,22.96537194,0,0,9.953793671,0.00289808,0,0,0,0,0.192098662,0,0.077802199,0,0,0,0,0,0,0,0.542066587,0,0,0,0,0.085207703,0.062654384,0,0,0,0.042472741,0,0,0.388395817,0,0,0.026085927,0,0,0,0.150010438,0,0,34.48885815,0,34.48885815,0.07563333333,0.0329,0.21266666667,0.02383333333,0.0314,40.0518971467,8.52219617733,58.5410333333,7.52558541767,0.199879227,25.8413635433,1.003766008,27.7886666667,0.09308333333,0.014957265,5.70659526733,5.652239271,13.0783694933,31.7596487333,0.07360730567
5,10004,OAH-02390,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,2016-08-18,Forereef,Mid,21.428016,-158.195502,PAV,15.6,1.5,1,0,1.5,96,0.107,0.0520289733412391,0.7,21,2,1,0.0221970748878385,0.564035748395053,0.276426729581343,2.94465852740241,5,0.146698019,0.187858634,0.022197075,1.036824426,0,0,0,0,0,0.0604116,0,0.40185097,0,0,0,0,0.865146776,0,0,0.432531082,0,0,0,0,0,0.119228309,0.004895748,0,0,0.005338359,0.059135529,0,0.317809898,0,0.017662945,0,0,0,0,0.129728711,0,0,3.80731808,0,3.80731808,0.07563333333,0.0329,0.21266666667,0.02383333333,0.0314,40.58257581,8.62387525333,58.5550333333,7.22071412133,0.19927536233,25.7977214567,1.00596336867,27.8266666667,0.07244444467,0.011217949,5.66479634733,7.558852565,16.3829707033,45.2066595033,0.06529680367
6,10009,OAH-02461,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefDeep,OAH_SOUTH,2016-08-19,Forereef,Deep,21.547161,-158.252005,PAV,25.55,1,1.5,0,20,77.5,0.10125,0.0124373429638327,0.295,30,2,1,0.541445116398628,5.1970213229256,6.32968307498616,4.27984665580323,6,5.379991489,0.049612989,0,9.025357578,0.00289808,0,0,0,0,0,0,0.165574837,0,0,0,0,0,0,0,0.186824015,0,0.616634347,0,0,0,0.090404482,0.541445116,0,0,0,0.072288262,0.010727947,0,0,0.080590404,0.040033844,0,0,0,0.08561278,0,0,16.34799617,0,16.34799617,0.07236666667,0.03673333333,0.4363,0.09823333333,0.0592,41.42829786,8.709781445,58.6511666667,5.87977569433,0.185990338,25.7000614433,1.05133390133,27.5276666667,0.129583333,0.02617521333,8.18021173567,10.091718752,21.1612010533,61.62295064,0.07461187233
7,10010,OAH-02406,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefMid,OAH_SOUTH,2016-08-19,Forereef,Mid,21.501435,-158.236933,PAV,11.6,1,2.5,0.5,1,95,0.1075,0.039680461360962,0.3,24,2,1,0,2.95778647024357,0.0149216384824331,9.34975474213125,7,2.907496557,0.022637204,0,8.395529668,0.001349615,0,0.001939061,0,0,0.000895382,0,0.740673037,0,0,0,0,0,0,0,0.155172643,0,0,0.013864164,0,0,0.008043661,0,0,0,0,0.021684725,0.003575982,0.010754217,0,0.032261909,0,0.003921238,0,0,0.002663788,0,0,12.32246285,0,12.32246285,0.06526666667,0.02506666667,0.22183333333,0.03956666667,0.0616,40.6499972133,8.37355038967,57.9990333333,6.30849259267,0.19565217367,25.7170629833,1.01387074167,27.6546666667,0.08016666667,0.016559829,8.487482735,11.7479796547,24.74719879,62.5124685967,0.07872146133
8,10011,OAH-02416,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefShallow,OAH_SOUTH,2016-08-19,Forereef,Shallow,21.46914,-158.219437,PAV,3.35,1.5,0.5,1,4.5,92.5,0.16,0.120754129026734,0.55,12,2,1,0.0130679371169343,0.0939497995269182,8.22542173309101,0.549144913128809,8,6.887779283,0,0,1.543048625,0,0,0,0,0,0,0,0,0,0,0.013067937,0,0,0,0,0.254151014,0,0,0,0,0,0.00402183,0,0,0,0,0,0,0.179515693,0,0,0,0,0,0,0,0,0,8.881584383,0,8.881584383,0.06876666667,0.02923333333,0.21743333333,0.03256666667,0.05253333333,40.2167848267,8.66612826,58.3563666667,7.49868449167,0.20833333333,25.7640691267,1.00602565633,27.745,0.07544444467,0.013354701,6.96083529067,7.47127340433,16.90550469,44.1339249967,0.068219178
9,10012,OAH-02412,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_SOUTH,2016,ForereefShallow,OAH_SOUTH,2016-08-19,Forereef,Shallow,21.451023,-158.202334,PAV,4.85,2,1,0,2.5,94.5,0.154,0.15020995066678,0.9,17,2,1,0,2.03510365363423,2.55705896034802,5.15800075940266,9,2.426335497,0,0,2.728249989,0,0,0,0,0,1.01844042,0,0.189779356,0,0,0,0,0,0,0,0.880897173,0,0,0,0,0,0.571783643,0,0,0,0,0,0,1.539944726,0,0,0,0,0,0,0.130723463,0.264009107,0,9.750163373,0,9.750163373,0.07563333333,0.0329,0.21266666667,0.02383333333,0.0314,40.2167848267,8.66612826,58.3563666667,7.49868449167,0.20833333333,25.7640691267,1.00602565633,27.745,0.07544444467,0.013354701,3.44908113767,4.05444289333,8.973009175,24.6260445333,0.06155251167
10,10023,OAH-02322,nSPC,2016,MHI,Main Hawaiian Islands,Oahu,OAH_NORTH,2016,ForereefDeep,OAH_NORTH,2016-08-20,Forereef,Deep,21.621528,-158.10004,PAV,21.85,2,4,0,2.5,91.5,0.10625,0.0272431183971292,0.25,23,2,1,0,0.0258635893878942,0.150613908719478,1.58454431096177,10,0,0,0,0.87088053,0,0,0,0,0,0.006296612,0,0.053468013,0,0,0,0,0,0,0,0.137769564,0,0,0,0.005454517,0.021842203,0.08954894,0,0,0,0.031343544,0,0.013338272,0.020409072,0,0,0,0,0,0,0.510670542,0,0,1.761021809,0,1.761021809,0.11596666667,0.12356666667,0.94543333333,0.1121,0.01933333333,42.93440097,9.59143416,59.6261333333,4.772792593,0.17391304333,25.4172718867,0.98159527367,26.8806666667,0.26525000033,0.0625,21.8349818,33.5885240567,67.4670117867,191.494809533,0.07442922367
