Code,SCIENTIFIC NAME,Functional group,SPC_Bio,%comp
CEAR,Cephalopholis argus,Fish Benthic Piscivores,1.103525287,69.8%
GYFL,Gymnothorax flavimarginatus,Fish Benthic Piscivores,0.193641316,12.3%
OXUN,Oxycheilinus unifasciatus,Fish Invertivores,0.107399906,6.8%
GYME,Gymnothorax meleagris,Fish Benthic Piscivores,0.055274506,3.5%
PAFO,Paracirrhites forsteri,Fish Benthic Piscivores,0.050767139,3.2%
AUCH,Aulostomus chinensis,Fish Benthic Piscivores,0.025529872,1.6%
GYJA,Gymnothorax javanicus,Fish Benthic Piscivores,0.017552377,1.1%
GYUN,Gymnothorax undulatus,Fish Benthic Piscivores,0.014018108,0.9%
SCDI,Scorpaenopsis diabolus,Fish Benthic Piscivores,0.003666171,0.2%
GYSP,Gymnothorax sp,Fish Benthic Piscivores,0.003009237,0.2%
ENCA,Enchelynassa canina,Fish Benthic Piscivores,0.00159675,0.1%
LIZA,Synodontidae,Fish Benthic Piscivores,0.00151424,0.1%
SCPP,Scorpaenopsis sp,Fish Benthic Piscivores,0.000992214,0.1%
SCCA,Scorpaenopsis cacopsis,Fish Benthic Piscivores,0.000848835,0.1%
PTSP,Pterois sphex,Fish Benthic Piscivores,0.000484008,0.0%
CONG,Congridae,Fish Benthic Piscivores,0.000333025,0.0%
SAFL,Saurida flamma,Fish Benthic Piscivores,0.000184482,0.0%
GYST,Gymnothorax steindachneri,Fish Benthic Piscivores,5.47215E-05,0.0%
SEBA,Sebastapistes ballieui,Fish Benthic Piscivores,3.10292E-05,0.0%
SYVA,Synodus variegatus,Fish Benthic Piscivores,2.98166E-05,0.0%
TATR,Taenianotus triacanthus,Fish Benthic Piscivores,1.8557E-05,0.0%
SYBI,Synodus binotatus,Fish Benthic Piscivores,5.70081E-07,0.0%
NALI,Naso lituratus,Fish Browsers,0.706814335,35.9%
CHUB,Kyphosus sp,Fish Browsers,0.697497259,35.5%
NAUN,Naso unicornis,Fish Browsers,0.434784532,22.1%
CACA,Calotomus carolinus,Fish Browsers,0.098026556,5.0%
CHCH,Chanos chanos,Fish Browsers,0.011641377,0.6%
KYCI,Kyphosus cinerascens,Fish Browsers,0.006909533,0.4%
CAZO,Calotomus zonarchus,Fish Browsers,0.006536939,0.3%
KYVA,Kyphosus vaigiensis,Fish Browsers,0.002112645,0.1%
KYSA,Kyphosus sandwicensis,Fish Browsers,0.00200903,0.1%
CHOR,Chaetodon ornatissimus,Fish Coralivores,0.118618309,33.6%
CHMU,Chaetodon multicinctus,Fish Coralivores,0.070533092,20.0%
CHQU,Chaetodon quadrimaculatus,Fish Coralivores,0.067224649,19.1%
PLJO,Plectroglyphidodon johnstonianus,Fish Coralivores,0.047272833,13.4%
CHUN,Chaetodon unimaculatus,Fish Coralivores,0.034210531,9.7%
ARME,Arothron meleagris,Fish Coralivores,0.008316233,2.4%
CHLT,Chaetodon lunulatus,Fish Coralivores,0.005330686,1.5%
EXBR,Exallias brevis,Fish Coralivores,0.000724691,0.2%
CHRE,Chaetodon reticulatus,Fish Coralivores,0.000165272,0.0%
CHME,Chaetodon meyeri,Fish Coralivores,0.000118397,0.0%
SCRU,Scarus rubroviolaceus,Parrots,1.21489917,70.5%
CHSO,Chlorurus sordidus,Parrots,0.36774605,21.3%
CHPE,Chlorurus perspicillatus,Parrots,0.115696331,6.7%
PARR,Scaridae,Parrots,0.025661652,1.5%
SCSP,Scarus sp,Parrots,0.000415638,0.0%
ACOL,Acanthurus olivaceus,Fish Grazer-Detritivores,2.286667489,30.8%
ACNF,Acanthurus nigrofuscus,Fish Grazer-Detritivores,1.307924424,17.6%
ACDU,Acanthurus dussumieri,Fish Grazer-Detritivores,0.902619577,12.2%
ACBL,Acanthurus blochii,Fish Grazer-Detritivores,0.619469599,8.4%
CTST,Ctenochaetus strigosus,Fish Grazer-Detritivores,0.616338553,8.3%
MEVI,Melichthys vidua,Fish Grazer-Detritivores,0.531390371,7.2%
ZEFL,Zebrasoma flavescens,Fish Grazer-Detritivores,0.331603874,4.5%
ACTR,Acanthurus triostegus,Fish Grazer-Detritivores,0.200627073,2.7%
ACXA,Acanthurus xanthopterus,Fish Grazer-Detritivores,0.134977899,1.8%
ACLE,Acanthurus leucopareius,Fish Grazer-Detritivores,0.088103257,1.2%
ACNR,Acanthurus nigroris,Fish Grazer-Detritivores,0.08769353,1.2%
STFA,Stegastes fasciolatus,Fish Grazer-Detritivores,0.086850805,1.2%
CTHA,Ctenochaetus hawaiiensis,Fish Grazer-Detritivores,0.047968596,0.6%
ACAC,Acanthurus achilles,Fish Grazer-Detritivores,0.042384283,0.6%
CEPO,Centropyge potteri,Fish Grazer-Detritivores,0.02972757,0.4%
ABSO,Abudefduf sordidus,Fish Grazer-Detritivores,0.026388734,0.4%
ZEVE,Zebrasoma veliferum,Fish Grazer-Detritivores,0.025996621,0.4%
CASA,Cantherhines sandwichiensis,Fish Grazer-Detritivores,0.017813538,0.2%
ACNC,Acanthurus nigricans,Fish Grazer-Detritivores,0.014173226,0.2%
CEFI,Centropyge fisheri,Fish Grazer-Detritivores,0.006093093,0.1%
CAAM,Canthigaster amboinensis,Fish Grazer-Detritivores,0.004057824,0.1%
ACGU,Acanthurus guttatus,Fish Grazer-Detritivores,0.001473338,0.0%
PLSI,Plectroglyphidodon sindonis,Fish Grazer-Detritivores,0.001107343,0.0%
CIVA,Cirripectes vanderbilti,Fish Grazer-Detritivores,0.001075234,0.0%
CAEP,Canthigaster epilampra,Fish Grazer-Detritivores,0.00036838,0.0%
CELO,Centropyge loricula,Fish Grazer-Detritivores,0.000237176,0.0%
CIOB,Cirripectes obscurus,Fish Grazer-Detritivores,0.000115949,0.0%
SURG,Acanthuridae,Fish Grazer-Detritivores,0.000109951,0.0%
ACAN,Acanthurus achillesXnigricans hybrid= rackliffei,Fish Grazer-Detritivores,4.11489E-05,0.0%
CISP,Cirripectes sp,Fish Grazer-Detritivores,7.08691E-06,0.0%
SUFR,Sufflamen fraenatum,Fish Invertivores,0.918206788,31.3%
SUBU,Sufflamen bursa,Fish Invertivores,0.388190716,6.3%
THDU,Thalassoma duperrey,Fish Invertivores,0.357304577,5.8%
RHRE,Rhinecanthus rectangulus,Fish Invertivores,0.19242954,3.1%
PAAR,Paracirrhites arcatus,Fish Invertivores,0.192349759,3.1%
ZACO,Zanclus cornutus,Fish Invertivores,0.165571405,2.7%
COGA,Coris gaimard,Fish Invertivores,0.054250971,0.9%
CHLU,Chaetodon lunula,Fish Invertivores,0.053019268,0.9%
STBA,Stethojulis balteata,Fish Invertivores,0.05218533,0.8%
THBA,Thalassoma ballieui,Fish Invertivores,0.043135348,0.7%
CAJA,Canthigaster jactator,Fish Invertivores,0.042054387,0.7%
COVE,Coris venusta,Fish Invertivores,0.041144718,0.7%
GOVA,Gomphosus varius,Fish Invertivores,0.036986668,0.6%
HAOR,Halichoeres ornatissimus,Fish Invertivores,0.034422814,0.6%
CADU,Cantherhines dumerilii,Fish Invertivores,0.032500036,0.5%
FOFL,Forcipiger flavissimus,Fish Invertivores,0.028261688,0.5%
CHAU,Chaetodon auriga,Fish Invertivores,0.02621012,0.4%
PLIM,Plectroglyphidodon imparipennis,Fish Invertivores,0.025313496,0.4%
ANCU,Anampses cuvier,Fish Invertivores,0.018290072,0.3%
APAR,Apolemichthys arcuatus,Fish Invertivores,0.017323362,0.3%
CHFR,Chaetodon fremblii,Fish Invertivores,0.016357563,0.3%
MABR,Malacanthus brevirostris,Fish Invertivores,0.015519989,0.3%
PSOC,Pseudocheilinus octotaenia,Fish Invertivores,0.01504967,0.2%
PSCE,Pseudojuloides cerasinus,Fish Invertivores,0.014624009,0.2%
PSEV,Pseudocheilinus evanidus,Fish Invertivores,0.012942193,0.2%
CIFA,Cirrhitops fasciatus,Fish Invertivores,0.011845032,0.2%
DIHY,Diodon hystrix,Fish Invertivores,0.010355189,0.2%
CACO,Canthigaster coronata,Fish Invertivores,0.008811585,0.1%
COBA,Coris ballieui,Fish Invertivores,0.008150096,0.1%
MAGE,Macropharyngodon geoffroy,Fish Invertivores,0.007873104,0.1%
OSME,Ostracion meleagris,Fish Invertivores,0.00629668,0.1%
BAPO,Balistes polylepis,Fish Invertivores,0.006041034,0.1%
FOLO,Forcipiger longirostris,Fish Invertivores,0.005721092,0.1%
PSTE,Pseudocheilinus tetrataenia,Fish Invertivores,0.005398121,0.1%
PEAS,Pervagor aspricaudus,Fish Invertivores,0.005161235,0.1%
RHAC,Rhinecanthus aculeatus,Fish Invertivores,0.004572066,0.1%
LAPH,Labroides phthirophagus,Fish Invertivores,0.004498098,0.1%
ANCH,Anampses chrysocephalus,Fish Invertivores,0.00393058,0.1%
TRIG,Balistidae,Fish Invertivores,0.00386428,0.1%
NOTA,Novaculichthys taeniourus,Fish Invertivores,0.003377421,0.1%
CHIN,Cheilio inermis,Fish Invertivores,0.003360927,0.1%
ARHI,Arothron hispidus,Fish Invertivores,0.002671132,0.0%
PESP,Pervagor spilosoma,Fish Invertivores,0.002390851,0.0%
PASC,Parapercis schauinslandii,Fish Invertivores,0.002064423,0.0%
