REGION,ISLAND,OBS_YEAR,DATE_,SITE,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,Total Coral,CORAL_Branching hard coral,CORAL_Encrusting hard coral,CORAL_Foliose hard coral,CORAL_Fungia sp,CORAL_Leptoseris sp,CORAL_Massive hard coral,CORAL_Montipora branching,CORAL_Montipora encrusting,CORAL_Montipora foliose,CORAL_Pavona encrusting,CORAL_Pavona massive,CORAL_Pocillopora sp,CORAL_Porites branching,CORAL_Porites encrusting,CORAL_Porites foliose,CORAL_Porites massive,EMA_Macroalga,I_Sessile Invertebrate,MA_Macroalga,SC_Soft Coral,SED_Sediment,TURF_Turf Alga,UC_UnIdentified,CCA_Coralline Alga
MHI,Niihau,2015,40719,NII-01365,21.851906,-160.250361,Forereef,Deep,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0.003333333,0,0,0,0.043333333,0.933333333,0.006666667,0.006666667
MHI,Niihau,2015,40719,NII-01418,21.885892,-160.243607,Forereef,Deep,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.003333333,0,0,0.01,0.003333333,0.086666667,0,0.02,0.86,0.006666667,0
MHI,Niihau,2015,40719,NII-01356,21.934634,-160.205382,Forereef,Deep,0.02,0,0.003333333,0,0,0.006666667,0,0,0,0,0,0,0,0,0.006666667,0,0.003333333,0.06,0,0.016666667,0,0.023333333,0.87,0.01,0
MHI,Niihau,2015,40719,NII-01315,21.949722,-160.194558,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056666667,0,0.013333333,0,0,0.893333333,0.02,0.016666667
MHI,Niihau,2015,40721,NII-01377,21.86083,-160.139608,Forereef,Deep,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0.016666667,0.003333333,0,0,0,0.083333333,0.88,0.01,0
MHI,Niihau,2015,40721,NII-01390,21.865981,-160.132366,Forereef,Deep,0.003225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003225806,0.003225806,0,0.019354839,0,0.058064516,0.896774194,0.019354839,0
MHI,Niihau,2015,40720,NII-01362,21.996405,-160.131616,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056666667,0,0.006666667,0,0.02,0.91,0,0.006666667
MHI,Niihau,2015,40720,NII-01344,22.023745,-160.102272,Forereef,Deep,0.006666667,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.14,0.026666667,0.096666667,0,0.026666667,0.683333333,0.006666667,0.013333333
MHI,Niihau,2015,40720,NII-01432,22.007703,-160.100763,Forereef,Deep,0.01,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.006666667,0,0,0.03,0,0,0,0,0.953333333,0.006666667,0
MHI,Niihau,2015,40720,NII-01371,22.012946,-160.09032,Forereef,Deep,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0.006666667,0.003333333,0,0.033333333,0,0.106666667,0.823333333,0.006666667,0.003333333
MHI,Niihau,2015,40720,NII-01380,22.009987,-160.08094,Forereef,Deep,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0.009677419,0,0,0,0.177419355,0.774193548,0.029032258,0.003225806
MHI,Niihau,2015,40721,NII-01401,21.898585,-160.070207,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136666667,0.853333333,0,0.01
MHI,Niihau,2015,40721,NII-01350,21.93104,-160.067859,Forereef,Deep,0.00625,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0.028125,0,0.234375,0.678125,0.05,0.003125
MHI,Kauai,2015,40718,KAU-01507,21.909532,-159.640535,Forereef,Deep,0.043333333,0,0.003333333,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0.006666667,0.003333333,0.006666667,0,0.07,0.843333333,0.003333333,0.023333333
MHI,Kauai,2015,40718,KAU-01499,21.887188,-159.569732,Forereef,Deep,0.051612903,0,0.006451613,0,0,0,0,0,0.016129032,0,0,0,0.003225806,0,0,0,0.025806452,0,0,0,0,0.080645161,0.832258065,0.019354839,0.016129032
MHI,Oahu,2015,40766,OAH-02140,21.591651,-158.220252,Forereef,Deep,0.264516129,0,0.032258065,0,0,0,0.003225806,0,0.119354839,0,0,0,0.006451613,0,0,0,0.103225806,0.041935484,0,0.006451613,0,0.025806452,0.603225806,0.035483871,0.022580645
MHI,Oahu,2015,40765,OAH-02117,21.307776,-158.126483,Forereef,Deep,0.038709677,0,0,0,0,0,0,0,0.003225806,0,0,0,0.009677419,0,0,0,0.025806452,0.009677419,0,0,0,0.006451613,0.906451613,0.016129032,0.022580645
MHI,Oahu,2015,40766,OAH-02144,21.603239,-158.126149,Forereef,Deep,0.116129032,0,0.019354839,0,0,0,0,0,0.064516129,0,0,0,0,0,0.003225806,0,0.029032258,0.029032258,0,0.103225806,0,0.148387097,0.558064516,0.022580645,0.022580645
MHI,Oahu,2015,40765,OAH-02172,21.28009,-158.107208,Forereef,Deep,0.003030303,0,0,0,0,0,0.003030303,0,0,0,0,0,0,0,0,0,0,0,0,0.003030303,0,0.296969697,0.66969697,0.024242424,0.003030303
MHI,Oahu,2015,40753,OAH-02149,21.628793,-158.09248,Forereef,Deep,0.021875,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0.015625,0.009375,0,0.040625,0,0.178125,0.734375,0.009375,0.00625
MHI,Oahu,2015,40753,OAH-02150,21.647205,-158.067266,Forereef,Deep,0.0625,0,0.009375,0,0,0,0,0,0,0,0,0,0.003125,0,0.003125,0,0.046875,0.00625,0,0,0,0.01875,0.875,0.03125,0.00625
MHI,Oahu,2015,40716,OAH-02111,21.28190939,-157.8608213,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0.016666667,0,0.583333333,0.386666667,0.01,0
MHI,Oahu,2015,40716,OAH-02113,21.26937434,-157.8422984,Forereef,Deep,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0.003333333,0,0.073333333,0,0.57,0.34,0.006666667,0
MHI,Oahu,2015,40751,OAH-02203,21.557929,-157.828342,Forereef,Deep,0.03,0.003333333,0.006666667,0,0,0,0,0,0.003333333,0,0,0,0.01,0,0,0,0.006666667,0.023333333,0,0.016666667,0,0.016666667,0.89,0.023333333,0
MHI,Oahu,2015,40751,OAH-02204,21.539109,-157.820349,Forereef,Deep,0.026666667,0,0.006666667,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0.016666667,0.003333333,0,0.013333333,0,0.12,0.826666667,0.01,0
MHI,Oahu,2015,40751,OAH-02188,21.513996,-157.806892,Forereef,Deep,0.235483871,0,0.019354839,0,0.003225806,0,0,0,0.109677419,0,0,0,0.006451613,0.003225806,0,0,0.093548387,0.019354839,0,0.016129032,0,0.009677419,0.683870968,0.035483871,0
MHI,Oahu,2015,40716,OAH-02060,21.242949,-157.792696,Forereef,Deep,0.015625,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0.003125,0,0.009375,0.00625,0,0.00625,0,0.225,0.734375,0.00625,0.00625
MHI,Oahu,2015,40752,OAH-02186,21.495061,-157.788383,Forereef,Deep,0.184375,0,0.06875,0,0,0,0.003125,0,0.065625,0,0,0,0.028125,0,0,0,0.01875,0.003125,0,0,0,0.015625,0.7,0.09375,0.003125
