REGION,ISLAND,OBS_YEAR,DATE_,SITE,LATITUDE,LONGITUDE,REEF_ZONE,DEPTH_BIN,Total Coral,CORAL_Acanthastrea sp_ENC,CORAL_Cyphastrea sp_ENC,CORAL_Echinopora sp_FOL,CORAL_Favia sp_MASS,CORAL_Favites sp_MASS,CORAL_Goniastrea sp_MASS,CORAL_Goniopora/Alveopora sp_ENC,CORAL_Leptastrea sp_ENC,CORAL_Lobophyllia/Symphyllia sp_MASS,CORAL_Montipora encrusting_ENC,CORAL_Montipora non-encrusting_FOL,CORAL_Pavona sp_ENC,CORAL_Pocillopora sp_BR,CORAL_Porites massive_MASS,CORAL_Porites non-massive_BR,CORAL_Psammocora sp_ENC,CORAL_UnID Coral_BR,CORAL_UnID Coral_ENC,CORAL_UnID Coral_FREE,CORAL_UnID Coral_MASS,CORAL_UnID Coral_NS,EMA_Encrusting Macroalga,I_Sessile Invertebrate,MA_Macroalga,SC_Soft Coral,SED_Sediment,TURF_Turf Alga,UC_UnIdentified,CCA_Coralline Alga
MHI,Niihau,2013,40040,NII-00293,21.93567722,-160.2024118,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0.093548387,0.870967742,0.016129032,0.003225806
MHI,Niihau,2013,40038,NII-00194,21.81437985,-160.1824339,Forereef,Deep,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0.00625,0.003125,0.0125,0,0.496875,0.428125,0.021875,0.01875
MHI,Niihau,2013,40040,NII-00249,21.95996446,-160.1719497,Forereef,Deep,0.003225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003225806,0,0,0,0,0,0,0,0.006451613,0,0.093548387,0,0.006451613,0.864516129,0.025806452,0
MHI,Niihau,2013,40038,NII-00190,21.83896171,-160.1631438,Forereef,Deep,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0.021875,0,0,0,0,0,0,0,0,0,0.003125,0,0.00625,0.959375,0.003125,0.003125
MHI,Niihau,2013,40040,NII-01251,21.96604938,-160.1415091,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0.94,0.036666667,0.006666667
MHI,Niihau,2013,40040,NII-00251,21.96617763,-160.1409939,Forereef,Deep,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.003125,0,0,0,0,0,0,0,0,0,0.028125,0,0.003125,0.871875,0.0625,0.01875
MHI,Niihau,2013,40040,NII-01224,22.01583445,-160.1024489,Forereef,Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016041667,0,0.01,0,0,0.948541667,0.012708333,0.012708333
MHI,Niihau,2013,40040,NII-00220,22.01223535,-160.0999473,Forereef,Deep,0.008571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008571429,0,0,0,0,0,0,0,0,0,0.002857143,0,0,0.911428571,0.06,0.017142857
MHI,Niihau,2013,40038,NII-01193,21.88318346,-160.0907622,Forereef,Deep,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0.01,0,0.056666667,0.926666667,0.003333333,0
MHI,Niihau,2013,40038,NII-00195,21.87900902,-160.0903981,Forereef,Deep,0.012903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0.035483871,0,0.003225806,0.929032258,0.006451613,0.012903226
MHI,Niihau,2013,40038,NII-00197,21.90111302,-160.0709883,Forereef,Deep,0.009375,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0.003125,0,0,0,0,0,0,0,0,0.003125,0.00625,0,0,0.95625,0.015625,0.009375
MHI,Niihau,2013,40038,NII-01219,22.0074005,-160.0703892,Forereef,Deep,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.003333333,0,0.003333333,0,0,0.96,0.016666667,0.006666667
MHI,Kauai,2013,40039,KAU-00333,22.08782444,-159.77669,Forereef,Deep,0.051612903,0,0,0,0,0,0,0,0,0,0.038709677,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0.051612903,0,0.1,0.783870968,0.012903226,0
MHI,Kauai,2013,40039,KAU-00330,22.14169904,-159.7662223,Forereef,Deep,0.067741935,0,0,0,0,0,0,0,0,0,0.058064516,0,0,0.003225806,0.003225806,0.003225806,0,0,0,0,0,0,0.003225806,0,0.029032258,0,0.041935484,0.809677419,0.035483871,0.012903226
MHI,Kauai,2013,40039,KAU-00320,22.10335753,-159.7602721,Forereef,Deep,0.026470588,0,0,0,0,0,0,0,0,0,0.023529412,0,0,0,0,0.002941176,0,0,0,0,0,0,0,0,0.005882353,0,0.117647059,0.841176471,0.008823529,0
MHI,Kauai,2013,40039,KAU-01312,22.16807337,-159.7257812,Forereef,Deep,0.021190476,0,0,0,0,0,0,0,0,0,0,0.007142857,0,0,0.006904762,0,0,0,0.007142857,0,0,0,0,0.006904762,0.063571429,0,0.034285714,0.87047619,0,0.003571429
MHI,Kauai,2013,40039,KAU-00341,22.16818887,-159.7229065,Forereef,Deep,0.031428571,0,0,0,0,0,0,0,0,0,0.005714286,0,0,0,0.022857143,0,0,0,0.002857143,0,0,0,0,0,0.017142857,0,0.014285714,0.922857143,0.011428571,0.002857143
MHI,Kauai,2013,40039,KAU-01340,22.16817328,-159.7226059,Forereef,Deep,0.02,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0.95,0.023333333,0.003333333
MHI,Kauai,2013,40041,KAU-00217,21.88800003,-159.5721324,Forereef,Deep,0.135483871,0,0,0,0,0,0,0,0,0,0.061290323,0,0,0.025806452,0.048387097,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0.770967742,0.003225806,0.077419355
MHI,Kauai,2013,40041,KAU-01217,21.88728875,-159.5715792,Forereef,Deep,0.183333333,0,0,0,0,0,0,0,0,0,0.01,0.13,0,0.003333333,0.036666667,0.003333333,0,0,0,0,0,0,0,0,0.003333333,0,0.006666667,0.77,0.016666667,0.02
MHI,Kauai,2013,40041,KAU-01238,21.88105,-159.54254,Forereef,Deep,0.044583333,0,0,0,0,0,0,0,0,0,0,0,0,0.041458333,0.003125,0,0,0,0,0,0,0,0,0,0.003125,0,0.65,0.299166667,0,0.003125
MHI,Kauai,2013,40041,KAU-00223,21.86980627,-159.5118714,Forereef,Deep,0.006451613,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0.9,0.003225806,0.074193548
MHI,Kauai,2013,40041,KAU-00226,21.88106644,-159.4998247,Forereef,Deep,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0.0125,0,0,0,0,0,0,0,0,0,0.0125,0,0.190625,0.76875,0.009375,0
MHI,Kauai,2013,40037,KAU-00227,21.91129737,-159.3799259,Forereef,Deep,0.008823529,0,0,0,0,0,0,0,0,0,0,0,0,0.005882353,0.002941176,0,0,0,0,0,0,0,0.002941176,0,0.023529412,0,0,0.861764706,0.017647059,0.085294118
MHI,Kauai,2013,40037,KAU-00231,21.99784596,-159.3287875,Forereef,Deep,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0.963333333,0.016666667,0
MHI,Kauai,2013,40037,KAU-01231,21.99781495,-159.3286937,Forereef,Deep,0.255,0,0,0,0,0,0,0,0,0,0.003333333,0,0.003125,0.083125,0.126666667,0.03875,0,0,0,0,0,0,0.003125,0.00625,0.006458333,0,0,0.674791667,0.041458333,0.012916667
MHI,Kauai,2013,40037,KAU-00228,22.08073905,-159.2958814,Forereef,Deep,0.024242424,0,0,0,0,0,0,0,0,0,0,0,0,0.012121212,0.003030303,0,0,0,0,0,0,0.009090909,0.012121212,0,0.033333333,0.003030303,0.009090909,0.903030303,0,0.015151515
