SC,MinimalImpactUpper,minImpact_75%,Mid,minImpact_25%,MinimalImpactLower,PresentDayUpper,75%,PresentDay,25%,PresentDayLower,axis.order
Hawaii-Hamakua,23.65307235,20.38388623,13.98954475,9.25743159,7.650893952,12.87419272,11.90419099,9.882176661,8.203595787,7.597206771,17
Hawaii-Kona,19.23661283,16.70836919,11.68488832,7.783787519,6.421983025,10.56547264,10.00659027,8.760247166,7.675207246,7.262694412,12
Hawaii-Puna,23.94928151,19.7269102,12.49225864,7.671429748,6.124499043,10.92551447,9.937824958,7.861048055,6.26450305,5.686072973,14
Hawaii-Southeast,27.53801714,22.91255871,14.61048334,9.081285887,7.361709462,17.74463706,15.62517937,11.38499365,8.239089273,7.213670224,18
Kauai-East,3.961296584,3.132508697,1.773241551,0.858380727,0.549629847,1.410703087,1.308818398,1.095298892,0.914881386,0.849261877,1
Kauai-Na Pali,32.19306431,25.9144705,15.93396498,10.02865643,8.316271501,14.4291811,12.47705126,8.813777166,6.197934844,5.385298391,21
Lanai-North,14.48439634,11.66133455,7.330735756,4.673965741,3.899406312,4.831330085,4.335934046,3.331437217,2.558195762,2.294152973,9
Lanai-South,22.38639445,18.74366453,12.81490974,9.139718606,8.025162224,7.536435774,7.056678303,6.013478303,5.118431007,4.792458612,16
Maui-Kahului,43.44058906,34.57888095,20.63262744,12.50765754,10.23004763,9.505776844,8.444244315,6.329050762,4.756738449,4.213005765,24
Maui-Kihei,36.21288515,28.83989727,17.45146104,10.93882767,9.034110643,6.573687267,6.060350128,5.009888309,4.136448579,3.827449871,22
Maui-Lahaina,8.530391853,6.837352115,4.22343191,2.646780569,2.185266313,1.799295562,1.632528749,1.301220021,1.039856939,0.944186787,5
Maui-Northeast,37.24599874,30.86012619,20.15822258,13.26498956,11.20005117,10.90488867,9.892177079,7.889592796,6.306603187,5.739716354,23
Maui-Northwest,52.41769746,40.42760602,21.60308692,11.75980531,9.101685725,14.80162984,12.13461508,7.580626941,4.802555069,3.940596135,25
Molokai-Northwest,29.65572742,24.44387077,15.78984388,10.40763773,8.784460057,12.16628101,10.8092601,8.061445136,6.04317949,5.371247802,20
Molokai-Pali,21.07586454,18.01549588,12.61174648,9.004827698,7.874263737,9.072110621,8.284462767,6.661942757,5.32794331,4.872756744,15
Molokai-South,19.84689208,17.04109262,12.01042761,8.632243132,7.502742522,7.787155152,7.321494726,6.283754609,5.401842286,5.070615495,13
Molokai-West,6.37732823,5.622103312,4.256468411,3.215056203,2.873609187,3.920373952,3.601093587,2.93094353,2.385026718,2.187272609,6
Niihau-East,2.564930753,2.306153284,1.789618512,1.385441252,1.250233604,2.408567012,2.163491344,1.688561548,1.315133935,1.18711058,2
Niihau-Lehua,22.97422799,20.26880889,15.02194746,11.16426234,9.875616118,22.55155339,19.96031211,14.69586299,10.85199815,9.609434216,19
Niihau-West,13.37471476,12.25382885,9.850833338,7.935925801,7.260408463,12.44803813,11.40478132,9.213275799,7.460047934,6.836413714,11
Oahu-East,10.31889488,8.200405945,4.818264295,2.792120623,2.202199242,3.573720115,3.128130556,2.252825023,1.632268369,1.43498904,7
Oahu-Kaena,18.11079344,14.02826046,7.803989624,4.423328566,3.485701287,5.03591191,4.333711945,3.012520253,2.104303506,1.802550296,10
Oahu-Northeast,9.171232272,7.09153576,4.021373431,2.347390581,1.879416172,1.724056325,1.557495445,1.213731673,0.946310506,0.852460213,4
Oahu-Northwest,14.21300281,10.71133155,5.734083331,3.245459485,2.581730214,1.834979818,1.663004196,1.31076324,1.033064876,0.938031418,8
Oahu-South,4.685651837,3.778709066,2.234797035,1.220837919,0.921302815,1.986501732,1.855117743,1.567283417,1.32218089,1.234345677,3
