SC,Upper,pctrecovery_75%,Mid,pctrecovery_25%,Lower
Hawaii-Hamakua,1150.58312355295,905.578221319841,522.93329614806,280.608036078232,206.684280356936
Hawaii-Kona,1083.90468995718,884.496576244402,535.530555046429,297.332876302679,222.897178259775
Hawaii-Puna,1503.13715265928,1129.42325057343,555.369298826008,256.811057484424,170.473747700406
Hawaii-Southeast,970.325372808022,726.41432543493,344.249553859232,145.628813844153,92.9294116596571
Kauai-East,1768.26736850479,1316.47059458871,618.245496924954,229.443706764594,112.399434847478
Kauai-Na Pali,1554.60756693686,1144.88246109285,552.211831672771,263.154066381695,186.473507864136
Lanai-North,2018.41804453453,1513.39303128399,768.250638624872,385.786138276209,284.454033919226
Lanai-South,1925.08961557011,1527.7953232097,905.134169398749,561.600511980055,464.771756789302
Maui-Kahului,3356.92977580432,2428.90512267451,1144.63144220158,530.830814148573,382.738680699643
Maui-Kihei,3724.48486019405,2815.11765684481,1476.47400396042,787.066313997523,608.805969967288
Maui-Lahaina,3278.79239881149,2464.88407051704,1254.23202831669,650.360377845709,493.016530123829
Maui-Northeast,2352.3209765503,1814.96874231023,995.845714861048,553.819112297829,429.335545456692
Maui-Northwest,2647.9591690065,1790.97911366975,680.163612527468,237.442871280439,138.836357487211
Molokai-Northwest,1679.99023395349,1264.830639333,650.179716188932,329.610025816659,244.800998506547
Molokai-Pali,1564.77594941268,1236.11344851174,713.260937803017,422.219392764753,338.186644788608
Molokai-South,1605.36449705044,1299.07382479572,801.449451544371,496.486459729431,403.969255144479
Molokai-West,1032.42580362305,840.915093346198,522.50607985504,326.987005953845,265.890723542229
Niihau-East,690.455867352668,555.359232415362,329.292744311284,193.229009656905,152.962931833169
Niihau-Lehua,678.880995633202,527.742140489371,287.182676545323,148.585460016633,108.683361237453
Niihau-West,693.772693029336,565.245998030227,353.246958512506,220.283659785706,179.716699086128
Oahu-East,2215.90663823731,1582.34501179384,688.159672560272,277.124071252877,176.929970020447
Oahu-Kaena,2753.43359115665,1891.40665303276,776.732138464546,305.637611522485,197.267732403369
Oahu-Northeast,3879.81879553098,2776.56867028943,1276.05826218492,605.053349103231,438.255002022005
Oahu-Northwest,5625.75753648429,3937.27737689014,1764.07361443077,823.446211693297,606.475363273607
Oahu-South,1495.01127685387,1133.58079402098,559.314579210917,236.735514930324,147.925741648482
