SC,recovery_83%,recovery_75%,Mid,recovery_25%,recovery_17%
Hawaii-Hamakua,47.7514471,34.21722106,11.66291657,-4.811020552,-11.12653664
Hawaii-Kona,28.78132412,21.33944806,7.044386145,-3.674112857,-7.547366589
Hawaii-Puna,43.60548956,30.70512705,10.47810564,-3.182233215,-7.983115977
Hawaii-Southeast,51.38642455,34.17109544,6.913092533,-11.6031456,-20.73519769
Kauai-East,13.62781478,9.238162747,2.614407943,-1.648526788,-3.127177779
Kauai-Na Pali,63.48300867,44.10099716,15.48681029,-0.403561396,-6.548157604
Lanai-North,43.91193184,30.71890081,12.19565658,2.368919769,-0.794232545
Lanai-South,51.13629376,39.25030646,19.50145112,7.676504045,3.964233557
Maui-Kahului,109.6520378,80.38973908,36.78557501,12.24105247,5.341815229
Maui-Kihei,113.0564072,83.4993034,39.82737336,16.97683936,10.35547845
Maui-Lahaina,25.5583291,18.68456827,8.650290772,3.18994049,1.504091871
Maui-Northeast,92.73429801,69.38086688,32.28308326,10.88874435,4.222953006
Maui-Northwest,93.4174406,64.74045868,24.25022606,3.767288844,-2.382414948
Molokai-Northwest,110.3669926,73.9207215,25.35404702,0.609381018,-8.502723591
Molokai-Pali,49.14172071,36.6888432,16.5268407,3.796302259,-0.904058814
Molokai-South,46.4227407,35.62262279,17.60154415,5.424703353,1.387135335
Molokai-West,10.93694878,8.157473812,3.330210697,-0.267429904,-1.771518087
Niihau-East,5.202293735,3.401910423,0.315979006,-2.586539214,-4.27095636
Niihau-Lehua,24.1065464,15.67715432,0.726628061,-14.39746606,-22.30749719
Niihau-West,25.06736623,16.46392667,1.704241577,-12.59589086,-20.648451
Oahu-East,24.22759048,17.16053458,6.413329752,0.083192207,-2.278885917
Oahu-Kaena,47.7243343,32.77851062,11.90151355,1.383436841,-1.910656027
Oahu-Northeast,24.46501351,17.86688086,7.926403005,2.720175974,1.260931594
Oahu-Northwest,43.88730917,30.90813058,13.59973582,5.087999675,2.912488451
Oahu-South,8.878576444,6.225981276,1.712210744,-1.244250774,-2.228247452
