,17%,25%,50%,75%,83%
B[Hawaii-Hamakua Intercept],1.428425472,1.48446981,1.618228121,1.755435053,1.815420737
B[Hawaii-Kona Intercept],1.431429195,1.485139435,1.613662638,1.740772178,1.796364337
B[Hawaii-Puna Intercept],1.475995021,1.533237451,1.674299322,1.825316178,1.890994497
B[Hawaii-Southeast Intercept],1.300138684,1.370333547,1.529926366,1.679002813,1.739459031
B[Kauai-East Intercept],1.400871958,1.48480216,1.69204948,1.916037497,2.01481062
B[Kauai-Na Pali Intercept],1.442768807,1.522403634,1.715249401,1.935127765,2.033363863
B[Lanai-North Intercept],1.35272496,1.417360399,1.573448296,1.734636597,1.805727978
B[Lanai-South Intercept],1.297336158,1.357371559,1.493951164,1.631828859,1.687703047
B[Maui-Kahului Intercept],1.316392283,1.383702083,1.538708772,1.695393885,1.763701767
B[Maui-Kihei Intercept],1.226322645,1.29285728,1.441492077,1.583227667,1.642466883
B[Maui-Lahaina Intercept],1.247751779,1.312603921,1.458214584,1.603442408,1.664244001
B[Maui-Northeast Intercept],1.337142467,1.39946094,1.554085224,1.710949545,1.784155854
B[Maui-Northwest Intercept],1.282757493,1.356809992,1.525524427,1.694302086,1.770884472
B[Molokai-Northwest Intercept],1.389032141,1.455749194,1.611921428,1.774334602,1.850063013
B[Molokai-Pali Intercept],1.287247072,1.355387828,1.510844751,1.662464349,1.730541896
B[Molokai-South Intercept],1.312736981,1.370101458,1.50181402,1.629838494,1.682631568
B[Molokai-West Intercept],1.273737654,1.343841966,1.502184286,1.656303122,1.723017585
B[Niihau-East Intercept],1.114159348,1.250322903,1.543415653,1.847713343,2.001334961
B[Niihau-Lehua Intercept],1.347551319,1.472886993,1.760514605,2.095279795,2.252886029
B[Niihau-West Intercept],1.384983372,1.469161726,1.674577056,1.905517707,2.016544721
B[Oahu-East Intercept],1.398198789,1.478132475,1.671181708,1.889621666,1.992195636
B[Oahu-Kaena Intercept],1.234514611,1.323942129,1.52201833,1.714791968,1.802004857
B[Oahu-Northeast Intercept],1.283557438,1.367949366,1.563057454,1.771209342,1.873048723
B[Oahu-Northwest Intercept],1.028096157,1.129930372,1.343633104,1.541586573,1.622007538
B[Oahu-South Intercept],1.482654796,1.569510767,1.783590109,2.021440936,2.129747979
B[Hawaii-Hamakua Coral],1.247029089,1.396314201,1.76204962,2.129183419,2.287780838
B[Hawaii-Kona Coral],1.156441769,1.299769753,1.643570106,1.986456678,2.132467065
B[Hawaii-Puna Coral],1.129978885,1.285636433,1.675965574,2.049802016,2.214976711
B[Hawaii-Southeast Coral],1.217747346,1.374186337,1.749477218,2.128881882,2.286869384
B[Kauai-East Coral],1.630889338,1.825083184,2.299040746,2.830714725,3.066231017
B[Kauai-Na Pali Coral],1.333078022,1.522049558,1.968555706,2.432382488,2.629068752
B[Lanai-North Coral],1.564025533,1.717489897,2.104871486,2.501184814,2.676584922
B[Lanai-South Coral],1.650038324,1.787797127,2.140749814,2.512168602,2.667590279
B[Maui-Kahului Coral],1.650531002,1.806789427,2.187138887,2.58479464,2.75271799
B[Maui-Kihei Coral],1.759737799,1.908854255,2.27230662,2.658873958,2.826045701
B[Maui-Lahaina Coral],1.716762322,1.867224636,2.251986172,2.66185739,2.837053193
B[Maui-Northeast Coral],1.491542258,1.654035519,2.041880251,2.437804181,2.616232581
B[Maui-Northwest Coral],1.557489634,1.722105045,2.116731746,2.54286831,2.724458733
B[Molokai-Northwest Coral],1.349350001,1.511025995,1.899648989,2.29623146,2.46279339
B[Molokai-Pali Coral],1.553884755,1.704138315,2.08657816,2.494526607,2.670972611
B[Molokai-South Coral],1.51345878,1.65564189,1.996367854,2.356111734,2.503577208
B[Molokai-West Coral],1.600342894,1.753986211,2.134694809,2.545487708,2.726266944
B[Niihau-East Coral],1.49798634,1.73448688,2.307862059,2.976146637,3.300870931
B[Niihau-Lehua Coral],0.987247791,1.244863206,1.801245108,2.334512469,2.563510042
B[Niihau-West Coral],1.370188497,1.557614954,1.988722419,2.441697899,2.637343778
B[Oahu-East Coral],1.547857419,1.702322724,2.081289977,2.469189811,2.639158776
B[Oahu-Kaena Coral],1.627813728,1.783852158,2.175593037,2.584969303,2.760986899
B[Oahu-Northeast Coral],1.599127277,1.762200067,2.148150722,2.559138859,2.744804145
B[Oahu-Northwest Coral],1.656810404,1.813389564,2.210956249,2.629952732,2.808435286
B[Oahu-South Coral],1.458998639,1.622671383,2.016119629,2.429919355,2.612900863
B[Hawaii-Hamakua Coral x Coral],-1.79898242,-1.644071134,-1.279265534,-0.942017697,-0.8044548
B[Hawaii-Kona Coral x Coral],-1.781010268,-1.638730982,-1.304030498,-0.98741036,-0.854833586
B[Hawaii-Puna Coral x Coral],-1.780497996,-1.635613819,-1.304972249,-0.998838116,-0.866940709
B[Hawaii-Southeast Coral x Coral],-1.780956589,-1.622783835,-1.264032527,-0.924312999,-0.786744568
B[Kauai-East Coral x Coral],-1.840331496,-1.618936718,-1.144052279,-0.684737915,-0.490903485
B[Kauai-Na Pali Coral x Coral],-1.847859719,-1.647548301,-1.223841527,-0.833851926,-0.677449258
B[Lanai-North Coral x Coral],-1.68680324,-1.535803964,-1.189136143,-0.86197778,-0.733673648
B[Lanai-South Coral x Coral],-1.709123651,-1.548711845,-1.184308745,-0.844702889,-0.708455017
B[Maui-Kahului Coral x Coral],-1.607760959,-1.467913244,-1.152610087,-0.842554169,-0.72057972
B[Maui-Kihei Coral x Coral],-1.616081302,-1.480592734,-1.17587767,-0.879221362,-0.762872263
B[Maui-Lahaina Coral x Coral],-1.63709788,-1.486636635,-1.14894642,-0.816879502,-0.682116597
B[Maui-Northeast Coral x Coral],-1.710208283,-1.552255125,-1.195414781,-0.85913268,-0.725562685
B[Maui-Northwest Coral x Coral],-1.687805996,-1.534573666,-1.176856637,-0.840454916,-0.705250198
