,17%,25%,50%,75%,83%
mu.bIS[Hawaii Intercept],1.439194862,1.484276577,1.589661831,1.698415971,1.744385864
mu.bIS[Kauai Intercept],1.440297007,1.497073656,1.635137479,1.787314331,1.857066517
mu.bIS[Lanai Intercept],1.379184527,1.429090073,1.545046475,1.662081064,1.714403905
mu.bIS[Maui Intercept],1.363063598,1.408909235,1.516281812,1.622422082,1.668268229
mu.bIS[Molokai Intercept],1.387732858,1.433580925,1.541254743,1.646755669,1.691752783
mu.bIS[Niihau Intercept],1.427127473,1.485015552,1.624473514,1.776366786,1.845241895
mu.bIS[Oahu Intercept],1.389681452,1.445254202,1.572955923,1.705800972,1.764240862
mu.bIS[Hawaii Coral],1.336343132,1.4707009,1.796251312,2.129254693,2.262571163
mu.bIS[Kauai Coral],1.552993213,1.6998869,2.052145704,2.430071127,2.592270716
mu.bIS[Lanai Coral],1.621147123,1.756974971,2.08901881,2.430986429,2.576583806
mu.bIS[Maui Coral],1.683417526,1.816787308,2.141230824,2.483830116,2.630226856
mu.bIS[Molokai Coral],1.581177394,1.711209098,2.033885766,2.362108075,2.502073584
mu.bIS[Niihau Coral],1.542912088,1.684755248,2.040792067,2.40476789,2.564865573
mu.bIS[Oahu Coral],1.656241156,1.788006051,2.110491786,2.440385134,2.585715514
mu.bIS[Hawaii Coral x Coral],-1.712677605,-1.577227766,-1.267157811,-0.974931567,-0.852643702
mu.bIS[Kauai Coral x Coral],-1.705405964,-1.550211487,-1.197649464,-0.870678568,-0.743245936
mu.bIS[Lanai Coral x Coral],-1.653215395,-1.517877958,-1.197366908,-0.894018325,-0.773279191
mu.bIS[Maui Coral x Coral],-1.609885263,-1.478825726,-1.182053827,-0.893641374,-0.782415882
mu.bIS[Molokai Coral x Coral],-1.659668166,-1.534373962,-1.230755473,-0.947468895,-0.832490977
mu.bIS[Niihau Coral x Coral],-1.707257384,-1.553576158,-1.210226608,-0.890240131,-0.759863861
mu.bIS[Oahu Coral x Coral],-1.649177168,-1.506169926,-1.171428332,-0.856366482,-0.729447427
mu.bIS[Hawaii Sand],-0.480759079,-0.426723195,-0.307156961,-0.195766038,-0.150046478
mu.bIS[Kauai Sand],-0.485744964,-0.427420535,-0.305939246,-0.192524654,-0.143621945
mu.bIS[Lanai Sand],-0.456209382,-0.403345479,-0.288850046,-0.179367539,-0.133855984
mu.bIS[Maui Sand],-0.459305955,-0.40987779,-0.300171874,-0.194858724,-0.151841155
mu.bIS[Molokai Sand],-0.441834146,-0.396268073,-0.292559244,-0.192036098,-0.150359005
mu.bIS[Niihau Sand],-0.441715785,-0.391401128,-0.278056434,-0.16730861,-0.11996638
mu.bIS[Oahu Sand],-0.401088968,-0.356252472,-0.25227189,-0.146914435,-0.103217536
