,17%,25%,50%,75%,83%
mu.bIS[Hawaii Intercept],2.624252108,2.663951295,2.754143445,2.84001196,2.877659184
mu.bIS[Kauai Intercept],2.684621988,2.735165644,2.860585827,2.993292445,3.056918551
mu.bIS[Lanai Intercept],2.659701445,2.704376091,2.808134451,2.916964082,2.963618388
mu.bIS[Maui Intercept],2.595596645,2.632547351,2.718084266,2.80307316,2.837532468
mu.bIS[Molokai Intercept],2.657425483,2.694846665,2.780832263,2.867569939,2.904623415
mu.bIS[Niihau Intercept],2.765987241,2.81711814,2.946262761,3.093231388,3.161135709
mu.bIS[Oahu Intercept],2.549993641,2.596500352,2.701180044,2.803510217,2.845830934
mu.bIS[Hawaii Coral],0.539481035,0.611965959,0.77342703,0.940700106,1.00831083
mu.bIS[Kauai Coral],0.666774241,0.742709281,0.929479322,1.127893539,1.215693686
mu.bIS[Lanai Coral],0.69833597,0.771283448,0.946413804,1.12949125,1.206112103
mu.bIS[Maui Coral],0.695820587,0.765558954,0.934698037,1.108107863,1.180772128
mu.bIS[Molokai Coral],0.641747234,0.709286808,0.874889668,1.04550907,1.117248241
mu.bIS[Niihau Coral],0.629961985,0.708402232,0.893915971,1.084534197,1.171622096
mu.bIS[Oahu Coral],0.663309875,0.727878847,0.891507877,1.055310536,1.123397072
mu.bIS[Hawaii Coral x Coral],-0.801587168,-0.734539202,-0.582851941,-0.433427076,-0.3701973
mu.bIS[Kauai Coral x Coral],-0.788676465,-0.714157293,-0.544528008,-0.376776844,-0.308351
mu.bIS[Lanai Coral x Coral],-0.767443018,-0.698400118,-0.538821249,-0.381777279,-0.319392646
mu.bIS[Maui Coral x Coral],-0.762987057,-0.69951238,-0.550116881,-0.404257,-0.343951493
mu.bIS[Molokai Coral x Coral],-0.782184789,-0.717357657,-0.567440988,-0.42066473,-0.361412264
mu.bIS[Niihau Coral x Coral],-0.8049523,-0.729213112,-0.559352403,-0.394684078,-0.327498665
mu.bIS[Oahu Coral x Coral],-0.782533651,-0.712423248,-0.551196235,-0.390573435,-0.32796601
mu.bIS[Hawaii Sand],-0.168204644,-0.144466148,-0.092020232,-0.040242782,-0.02120446
mu.bIS[Kauai Sand],-0.178241573,-0.152734578,-0.095297713,-0.042377105,-0.021421544
mu.bIS[Lanai Sand],-0.17788885,-0.152649262,-0.0956133,-0.043033316,-0.023070123
mu.bIS[Maui Sand],-0.185287122,-0.161291152,-0.106733686,-0.054283051,-0.034555361
mu.bIS[Molokai Sand],-0.163394139,-0.142403923,-0.093102184,-0.044441884,-0.025019015
mu.bIS[Niihau Sand],-0.19358209,-0.166084536,-0.106068055,-0.051496326,-0.03093128
mu.bIS[Oahu Sand],-0.164785835,-0.143210559,-0.091915664,-0.04282373,-0.023545421
mu.bIS[Hawaii CCA],0.087664217,0.112499363,0.172079488,0.234766579,0.262659433
mu.bIS[Kauai CCA],0.039077642,0.074454356,0.15247134,0.231370716,0.267038344
mu.bIS[Lanai CCA],0.10024101,0.131069247,0.211038821,0.308728228,0.356191242
mu.bIS[Maui CCA],0.104673102,0.132215055,0.202303209,0.28408128,0.320628432
mu.bIS[Molokai CCA],0.122536163,0.150462694,0.226939718,0.318544528,0.360825771
mu.bIS[Niihau CCA],0.082876909,0.112753236,0.189556139,0.277121342,0.319209958
mu.bIS[Oahu CCA],0.081164478,0.111908858,0.184089139,0.26525481,0.303961908
mu.bIS[Hawaii Depth],0.174453261,0.212709931,0.296177945,0.378967993,0.414064412
mu.bIS[Kauai Depth],0.239331268,0.281125307,0.379224656,0.486802185,0.536612201
mu.bIS[Lanai Depth],0.327683715,0.36486717,0.458164308,0.565109659,0.613958585
mu.bIS[Maui Depth],0.230126806,0.262594094,0.338513627,0.415977193,0.451165308
mu.bIS[Molokai Depth],0.223811439,0.255375715,0.327909378,0.401258158,0.431999139
mu.bIS[Niihau Depth],0.218189195,0.254512634,0.341557922,0.430189669,0.46879973
mu.bIS[Oahu Depth],0.253101055,0.283272337,0.360056561,0.440001084,0.473084802
mu.bIS[Hawaii Complexity],0.442315304,0.485392794,0.585834164,0.686761169,0.729914494
mu.bIS[Kauai Complexity],0.664362258,0.723289806,0.878279489,1.066905118,1.154477495
mu.bIS[Lanai Complexity],0.561308684,0.611088896,0.735605765,0.870134176,0.931839308
mu.bIS[Maui Complexity],0.54835795,0.589919842,0.686602869,0.792004076,0.836777128
mu.bIS[Molokai Complexity],0.519829289,0.559939866,0.654341786,0.75044017,0.791446614
mu.bIS[Niihau Complexity],0.52441908,0.573488068,0.692384694,0.819873311,0.879859357
mu.bIS[Oahu Complexity],0.577109274,0.624625833,0.740860102,0.867705954,0.923214266
mu.bIS[Hawaii Water Clarity],0.068981465,0.094253382,0.156616991,0.223671362,0.253412937
mu.bIS[Kauai Water Clarity],0.04402674,0.071483132,0.13660142,0.205388466,0.23676934
mu.bIS[Lanai Water Clarity],0.043085466,0.069584742,0.132054404,0.197183552,0.226008961
mu.bIS[Maui Water Clarity],0.039452107,0.064832933,0.124219801,0.183989709,0.210177885
mu.bIS[Molokai Water Clarity],0.054033436,0.078235231,0.137236519,0.197741511,0.224532777
mu.bIS[Niihau Water Clarity],0.041003414,0.066589073,0.129013601,0.190700783,0.218340048
mu.bIS[Oahu Water Clarity],0.065447946,0.089731658,0.152229124,0.217758721,0.246513252
mu.bIS[Hawaii SST],-0.30527703,-0.256169607,-0.141338641,-0.038728919,-0.007659331
mu.bIS[Kauai SST],-0.355827927,-0.295345221,-0.16186947,-0.047808037,-0.011362948
mu.bIS[Lanai SST],-0.338953188,-0.281791812,-0.153698549,-0.041795445,-0.008251004
mu.bIS[Maui SST],-0.322596632,-0.270722808,-0.154283094,-0.048301854,-0.01364831
mu.bIS[Molokai SST],-0.333801154,-0.279579197,-0.157195918,-0.048188675,-0.012099908
mu.bIS[Niihau SST],-0.321268436,-0.265721136,-0.141297766,-0.034425923,-0.003669616
mu.bIS[Oahu SST],-0.319288263,-0.267037864,-0.148806493,-0.041550594,-0.008954488
mu.bIS[Hawaii Waves],-0.009215454,0.015021726,0.153171815,0.377439707,0.483155823
mu.bIS[Kauai Waves],-0.02110747,0.005496553,0.129600069,0.347465195,0.454695287
mu.bIS[Lanai Waves],-0.018239604,0.00680864,0.131060023,0.346502975,0.453105136
mu.bIS[Maui Waves],-0.007630378,0.015888986,0.149621778,0.371180144,0.476492009
mu.bIS[Molokai Waves],-0.012160961,0.011351426,0.13973566,0.348654101,0.448366781
mu.bIS[Niihau Waves],-0.021296382,0.004452064,0.125895932,0.332940779,0.435984957
mu.bIS[Oahu Waves],-0.017042692,0.007238226,0.132358601,0.343002753,0.446117308
mu.bIS[Hawaii Waves x Waves],-0.349555929,-0.2602962,-0.090309817,0.004392058,0.030901515
mu.bIS[Kauai Waves x Waves],-0.398205038,-0.307360658,-0.11984908,-0.00791599,0.015535166
mu.bIS[Lanai Waves x Waves],-0.38088745,-0.291579561,-0.109797708,-0.003285148,0.02011414
mu.bIS[Maui Waves x Waves],-0.358658183,-0.273287481,-0.099132567,0.000245612,0.024301307
mu.bIS[Molokai Waves x Waves],-0.362849222,-0.276831701,-0.104485607,-0.002525499,0.02065842
mu.bIS[Niihau Waves x Waves],-0.375646261,-0.289379882,-0.11387002,-0.006315129,0.016007308
mu.bIS[Oahu Waves x Waves],-0.401955304,-0.310792696,-0.12464087,-0.010656805,0.012432608
mu.bIS[Hawaii Human Density],-0.452777912,-0.398659381,-0.266089988,-0.130465032,-0.072820769
mu.bIS[Kauai Human Density],-0.585943034,-0.511899423,-0.352972541,-0.20287783,-0.138798927
mu.bIS[Lanai Human Density],-0.568146059,-0.50056239,-0.348066017,-0.202817531,-0.142613516
mu.bIS[Maui Human Density],-0.537055821,-0.477876733,-0.341266101,-0.208313734,-0.151655598
mu.bIS[Molokai Human Density],-0.541098847,-0.481232924,-0.342164333,-0.206467587,-0.148660046
mu.bIS[Niihau Human Density],-0.63427418,-0.566147555,-0.410642376,-0.260565606,-0.197203126
mu.bIS[Oahu Human Density],-0.520995346,-0.464634107,-0.334336613,-0.19908691,-0.141724462
